Altium Designer Pick and Place Locations
C:\Users\mail\AppData\Local\TempReleases\Snapshot\1\Fabrication\Pick Place\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       30.09.24
Time:       15:22
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Comment"
"D8","35.1000mm","34.4000mm","BottomLayer","0","D20V0L1B2WS-7"
"D4","13.3000mm","16.4000mm","BottomLayer","90","D20V0L1B2WS-7"
"D7","16.9000mm","4.1000mm","TopLayer","270","D20V0L1B2WS-7"
"R24","40.2000mm","16.0000mm","BottomLayer","270","CRCW060320K0FKEA"
"R23","31.6000mm","28.5000mm","BottomLayer","270","CRCW060320K0FKEA"
"R22","37.1000mm","15.5000mm","BottomLayer","0","CRCW06033K30FKEA"
"C14","37.9000mm","17.3000mm","BottomLayer","180","CL10A105KA8NNNC"
"C13","29.3000mm","29.8000mm","BottomLayer","180","CL10A105KA8NNNC"
"J2","37.5500mm","9.3000mm","BottomLayer","270","53261-0371"
"J1","37.5500mm","23.5000mm","BottomLayer","270","53261-0371"
"R4","3.0000mm","18.4000mm","TopLayer","90","CRCW0603100RFKEB"
"R5","1.3000mm","18.4000mm","TopLayer","90","CRCW0603100RFKEB"
"R21","24.6000mm","34.9000mm","BottomLayer","270","CRCW060310K0FKEC"
"C12","27.8000mm","34.2000mm","BottomLayer","180","C0603C473K3RACTU"
"R20","27.8000mm","36.1000mm","BottomLayer","0","CRCW06032M00FKEA"
"R19","23.4000mm","7.4000mm","BottomLayer","270","CRCW060310K0FKEC"
"Q5","24.7000mm","11.9000mm","BottomLayer","90","2N7002"
"Q2","29.0121mm","11.7000mm","BottomLayer","90","SQJ459EP-T1_GE3"
"D6","30.1500mm","6.7000mm","BottomLayer","180","824521331"
"IC4","13.8995mm","27.5000mm","TopLayer","0","Waveshare ESP32-S3 Mini"
"R16","15.5000mm","11.0000mm","BottomLayer","270","CRCW060310K0FKEC"
"R18","15.5000mm","14.6000mm","BottomLayer","270","CRCW060310K0FKEC"
"R17","15.5000mm","19.9000mm","BottomLayer","90","RMCF0603FT2K20"
"C11","15.5000mm","17.3000mm","BottomLayer","270","C0603C333K1RECAUTO"
"AT1","18.8998mm","15.3001mm","BottomLayer","270","PC81710NIP1B"
"Q1","29.0121mm","22.7000mm","BottomLayer","90","SQJ459EP-T1_GE3"
"R15","4.4000mm","34.7000mm","BottomLayer","180","0 Ohm Jumper"
"R14","28.5000mm","28.0000mm","BottomLayer","0","CRCW06033K30FKEA"
"R12","25.4000mm","7.4000mm","BottomLayer","90","CRCW060310K0FKEC"
"R13","24.3000mm","38.0000mm","BottomLayer","180","CRCW060310K0FKEC"
"R11","27.8000mm","38.0000mm","BottomLayer","0","CRCW060310K0FKEC"
"D5","30.1500mm","17.7000mm","BottomLayer","180","824521331"
"R10","23.4000mm","18.4000mm","BottomLayer","270","CRCW060310K0FKEC"
"Q4","24.7000mm","22.9000mm","BottomLayer","90","2N7002"
"R1","25.4000mm","18.4000mm","BottomLayer","90","CRCW060310K0FKEC"
"R9","12.0000mm","24.2000mm","BottomLayer","0","CRCW0603100RFKEB"
"R8","12.0000mm","25.7000mm","BottomLayer","0","CRCW0603100RFKEB"
"C10","9.4000mm","25.0000mm","BottomLayer","270","C0603C104K3PACTU"
"R7","11.0000mm","28.0000mm","BottomLayer","270","CRCW06038K20FKEC"
"R6","9.4000mm","30.2000mm","BottomLayer","90","CRCW060310K0FKEC"
"Q3","10.2000mm","33.4000mm","BottomLayer","0","MMBT4403LT1G"
"IC2","4.9500mm","28.7036mm","BottomLayer","180","HX711"
"D3","1.2000mm","15.1000mm","TopLayer","90","150080GS75000"
"D2","3.1000mm","15.1000mm","TopLayer","90","150080RS75000"
"C9","9.4000mm","27.4000mm","BottomLayer","90","C0603C104K3PACTU"
"C8","10.9000mm","30.6000mm","BottomLayer","270","C0603C106M8PACTU"
"C7","7.3000mm","34.6000mm","BottomLayer","180","C0603C106M8PACTU"
"R3","10.2000mm","12.5000mm","TopLayer","180","CRCW0603240KFKEA"
"C6","7.5000mm","11.7000mm","TopLayer","270","C0603C104K3PACTU"
"R2","10.2000mm","10.4000mm","TopLayer","0","CRCW060310K0FKEC"
"L1","5.4000mm","7.4000mm","TopLayer","270","74404052470"
"IC1","10.9000mm","5.5000mm","TopLayer","90","MP9486GN-Z"
"D1","6.4000mm","3.7000mm","TopLayer","90","BAT165"
"C2","14.6000mm","4.1000mm","TopLayer","90","C3216X5R1E476M160AC"
"C3","4.4000mm","11.5000mm","TopLayer","180","C3216X5R1E476M160AC"
"C1","6.8000mm","2.2000mm","TopLayer","180","C0603C104K3PACTU"
"C4","14.4000mm","7.9000mm","TopLayer","90","C0603C104K3PACTU"
"C5","12.9000mm","10.6000mm","TopLayer","270","C0603C225K4PACTU"
